,,JAZZ EVENTS MANAGEMENT
,,CLIENT REGISTRY REPORT
,,Generated: May 15 2026
,
,,CLIENT SUMMARY
METRIC,VALUE
Total Registered Clients,81
Verified Clients,1
Unverified Clients,80
,
,,CLIENT LIST
USER ID,CLIENT NAME,EMAIL,VERIFIED,DATE REGISTERED
2,"Dela Cruz, Patricia Anne L.",patricia.dc3@gmail.com,No,2026-05-10
3,"Santos, Maria Angela R.",maria.santos1@gmail.com,No,2026-05-10
4,"Ramos, Nicole Mae C.",nicole.ramos7@gmail.com,No,2026-05-10
5,"Garcia, Michael Vincent T.",michael.garcia4@gmail.com,No,2026-05-10
6,"Torres, Samantha Joy P.",samantha.torres5@gmail.com,No,2026-05-10
7,"Flores, Kevin Matthew D.",kevin.flores6@gmail.com,No,2026-05-10
8,"Aquino, Joshua Miguel S.",joshua.aquino8@gmail.com,No,2026-05-10
9,"Reyes, John Carlo M.",john.reyes2@gmail.com,No,2026-05-10
10,"Villanueva, Daniel Joseph B.",daniel.villa12@gmail.com,No,2026-05-10
11,"Castro, Hannah Louise G.",hannah.castro11@gmail.com,No,2026-05-10
12,"Navarro, Camille Rose A.",camille.navarro9@gmail.com,No,2026-05-10
13,"Mendoza, Alyssa Kate N.",alyssa.mendoza13@gmail.com,No,2026-05-10
14,"Lim, Christian Paul E.",christian.lim10@gmail.com,No,2026-05-10
15,"Perez, Nathaniel Cruz O.",nathaniel.perez14@gmail.com,No,2026-05-10
16,"Gutierrez, Bianca Marie H.",bianca.gutierrez15@gmail.com,No,2026-05-10
17,"Rivera, Francis Xavier Q.",francis.rivera16@gmail.com,No,2026-05-10
18,"Diaz, Patrick Laurence W.",patrick.diaz18@gmail.com,No,2026-05-10
19,"Morales, Trisha Nicole F.",trisha.morales19@gmail.com,No,2026-05-10
20,"Bautista, Erika Mae J.",erika.bautista17@gmail.com,No,2026-05-10
21,"Fernandez, Mark Anthony K.",mark.fernandez20@gmail.com,No,2026-05-10
22,"Tan, Jerome Albert S.",jerome.tan22@gmail.com,No,2026-05-10
23,"Domingo, Karen Mae T.",karen.domingo25@gmail.com,No,2026-05-10
24,"Ong, Vincent Paul D.",vincent.ong24@gmail.com,No,2026-05-10
25,"Lopez, Angela Denise P.",angela.lopez21@gmail.com,No,2026-05-10
26,"Salazar, Christine Joy V.",christine.salazar23@gmail.com,No,2026-05-10
27,"Cruz, Monica Faith B.",monica.cruz29@gmail.com,No,2026-05-10
28,"Valdez, Princess Elaine M.",princess.valdez27@gmail.com,No,2026-05-10
29,"Alvarez, Cedric James L.",cedric.alvarez28@gmail.com,No,2026-05-10
30,"Padilla, Joshua Ryan A.",joshua.padilla26@gmail.com,No,2026-05-10
33,"Mercado, Ethan Gabriel C.",ethan.mercado30@gmail.com,No,2026-05-10
52,"Soriano, Alyssa Mae T.",alyssa.soriano32@gmail.com,No,2026-05-10
53,"Ramirez, John Paul A.",john.ramirez31@gmail.com,No,2026-05-10
